cl,vf,r,x,y,z,vx,vy,vz,p,xx,xy,xz,yy,yz,zz
149,3.8664117595407147647e-05,0.020976828677621010832,1.5188521693888223929,0.50200183591126779081,2.0048599380295759609,0.13800996850925820181,0.089817986438519223369,0.078515810333285140921,-0.023984523636972829297,2.3070353439140824925,0.7624439370289606277,3.0450983917343026341,0.25208155107882096457,1.0064368207452036863,4.0195520593790181607
150,1.9061939982883459982e-06,0.007691767757658607256,1.1728350323761591589,0.3269114675514743773,1.0369487592165995693,0.22970643649170727207,-0.11938259726656352822,-0.12856879447661823113,0.022233014761471898285,1.3755575243433293409,0.38341204322074756705,1.2161685992721009697,0.10688379116136674518,0.33898971985011655539,1.0752783763913078552
151,2.203260703255567634e-06,0.0080722095315317217434,1.4964800154498141271,0.18851625785474890318,1.0144917090840046558,0.16791040734998638473,-0.18343233336408160117,-0.048995798183230875045,-0.093704853208188346181,2.2394696280410486544,0.28211326368937417186,1.5181640119425727775,0.035554875937055523127,0.19125021359970340029,1.0292076971190393664
152,8.9186299354704059929e-06,0.012864804125848219515,1.6502088229630442751,0.54107007620051261743,0.49870282509689056738,0.29386272961435017104,-0.0020139232896348039162,0.006893165655786960902,-0.0029861017087902544734,2.7232238252652392063,0.89288658347754057409,0.82296251270874321015,0.29279923612602742899,0.26983539703115666519,0.24873682740099131716
153,8.3334927087555628539e-07,0.0058377588400403863933,1.3609174888047830265,0.21479363193884823402,1.6192219615145806433,0.5767698073669961234,-0.6393513361870976075,-0.042098451294638357389,-0.039463962512684698514,1.8521059408874005481,0.29231627502555518339,2.203627562807111584,0.046145346543904175451,0.34779803196039493773,2.6218886017998253024
154,2.6907261331083505045e-06,0.0086283342846624686007,1.3413864308822951443,0.23467517458796466334,1.2302475505886489859,0.45926895670729278587,-0.24573853103335394077,-0.094175904254418837946,-0.042715250505549771931,1.7993414751905552063,0.31478661522221801361,1.6502354518244157777,0.055086705832895058177,0.28870796914896046381,1.5135257171856544289
155,1.1531052976915916745e-06,0.0065051920019754986765,1.3549937668271103686,0.22570410697057421978,1.822807062463320138,0.44062336450106909247,0.13261334725032444815,0.19594209017692820751,-0.014182439631020390264,1.836020224321344374,0.30582650899159236069,2.4698936205648380771,0.050952279460073142403,0.41141411843717318186,3.3226372498292420232
156,3.4484788727107996727e-06,0.0093723029894712088506,1.4912588130431079225,0.12094295437021725104,2.3428627610697967398,0.24952625409976258997,-0.32729229215863925306,-0.05773444853747993627,-0.13387844048857000523,2.2238790094963891697,0.18036529696431638503,3.493817528268417405,0.014648819116030567522,0.283350719433130116,5.4890232629670503428
157,3.469008621637034831e-06,0.0093908648411175511123,1.2962691520081373042,0.19217285207785103629,2.0987656270842478534,-0.016320794200240046345,-0.10707185198156486672,-0.073103950150895533056,0.036082508363948065377,1.6803369358134649936,0.24910748870800075716,2.7205637706566654366,0.036948344037390015715,0.40332147485065006354,4.4048384119801786696
158,4.1794857974676659541e-06,0.0099925902989024557171,1.4188028012528079991,0.16548140542445416434,1.246013474065629234,0.42529841689734781962,-0.47320006746174247958,0.095765344382590780747,0.029621171229778447964,2.0130297454837844384,0.23478071397647112817,1.7678525441813293106,0.027402783787028945489,0.20618630778152099992,1.5525753729433149353
159,1.9134226908183072089e-06,0.0077014784320434924447,1.3929867394338943942,0.19716588625391712197,1.6094914990275115407,0.52290225716324001404,-0.53384878216728381961,0.090983264595094259786,-0.034404101565859754319,1.9404258458465193371,0.27464972521166142183,2.2420001198751187133,0.038888462068345820699,0.31733901264114072749,2.5904789297581820584
160,5.1746201602956100993e-06,0.010729923417523703696,1.783419989671529482,0.55107156825377356935,0.61471387230286833603,0.53530860340194608149,-0.045901737638213153947,0.059502852027891572906,0.0012911605534715387463,3.1806117034989576098,0.98279118561191292081,1.0962941525128344633,0.30370938923713119983,0.33875094616510187384,0.37789558402019374217
161,1.1092351292346655655e-06,0.0064216259052537012428,1.357470330022544136,0.26381565222185893171,1.2668996105680228048,0.74335472745634600944,-0.23789566852416574316,0.0034638734132041953777,0.015651696417174430082,1.8427370505388864785,0.35812396515350963799,1.7197781321047151959,0.069609586846937812621,0.33422860479405491763,1.6050460403120652142
162,4.0046098564772157396e-06,0.0098512317104686129843,1.367596066148033751,0.15115960493022073674,2.207033153345822285,0.058025897144210025758,-0.16552904177358918059,-0.17064183894800569186,-0.049354158074753025354,1.8703445398646034725,0.20672827998096865443,3.0183331651467959489,0.022872716289126831385,0.33362255752895714211,4.8710165020055500307
163,3.1523642071071716444e-06,0.0090959750302918550291,1.361942322293056673,0.11113472782243885573,1.7694470402873057058,0.0068285853784947198042,-0.24032035292278380867,0.0031969163026070931966,0.09914869869195329366,1.8549078995535170922,0.15136636963679353518,2.4098812076336977306,0.01237368163388291066,0.19664436299731263835,3.130959708197597724
